,genres
1307,"['fantasy', 'drama', 'thriller', 'animation', 'family', 'european']"
1308,"['drama', 'comedy']"
1309,"['comedy', 'drama']"
1310,"['thriller', 'horror', 'war', 'drama', 'fantasy']"
1311,"['war', 'thriller']"
1312,"['drama', 'romance']"
1313,"['comedy', 'family']"
1314,"['drama', 'comedy']"
1315,"['scifi', 'action', 'drama', 'thriller']"
1316,"['crime', 'documentation']"
1317,"['drama', 'romance', 'european']"
1318,"['horror', 'fantasy', 'drama', 'thriller', 'comedy']"
1319,"['fantasy', 'scifi', 'comedy', 'family', 'animation']"
1320,"['comedy', 'family', 'drama']"
1321,"['drama', 'thriller', 'crime']"
1322,"['drama', 'fantasy', 'horror', 'thriller']"
1323,"['comedy', 'animation', 'drama']"
1324,"['drama', 'comedy']"
1325,['documentation']
1326,"['drama', 'thriller', 'action', 'comedy', 'european']"
1327,"['drama', 'crime', 'thriller', 'animation', 'action']"
1328,"['thriller', 'crime']"
1329,"['action', 'drama', 'thriller', 'crime']"
1330,"['horror', 'thriller']"
1331,"['comedy', 'drama']"
1332,"['drama', 'thriller', 'scifi']"
1333,"['documentation', 'history', 'crime']"
1334,"['comedy', 'action', 'scifi']"
1335,"['action', 'animation', 'drama', 'fantasy', 'thriller', 'horror', 'scifi']"
1336,"['scifi', 'action', 'thriller']"
1337,"['scifi', 'fantasy', 'thriller', 'drama']"
1338,"['drama', 'fantasy', 'action']"
1339,"['drama', 'action', 'crime']"
1340,"['drama', 'crime', 'thriller', 'european']"
1341,"['drama', 'history', 'war', 'documentation']"
1342,"['scifi', 'drama', 'family']"
1343,"['thriller', 'fantasy', 'horror', 'drama']"
1344,"['drama', 'romance']"
1345,"['war', 'drama']"
1346,"['scifi', 'comedy', 'animation', 'fantasy']"
1347,"['scifi', 'war', 'action', 'drama', 'animation']"
1348,"['scifi', 'thriller', 'action', 'drama']"
1349,"['drama', 'romance']"
1350,['documentation']
1351,"['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama', 'family']"
1352,"['documentation', 'crime', 'history', 'sport']"
1353,"['music', 'documentation']"
1354,"['drama', 'animation', 'comedy', 'romance']"
1355,"['scifi', 'thriller', 'horror', 'drama', 'european']"
1356,"['thriller', 'scifi', 'drama', 'fantasy', 'horror']"
1357,"['thriller', 'horror']"
1358,"['thriller', 'war', 'drama', 'action', 'history', 'european']"
1359,"['scifi', 'animation', 'action']"
1360,"['thriller', 'action', 'drama', 'war']"
1361,['drama']
1362,"['comedy', 'drama']"
1363,['documentation']
1364,"['drama', 'action', 'history']"
1365,"['war', 'drama', 'history', 'european']"
1366,['comedy']
1367,"['drama', 'romance', 'thriller', 'crime']"
1368,"['documentation', 'music']"
1369,"['drama', 'music']"
1370,"['romance', 'drama']"
1371,['comedy']
1372,"['scifi', 'thriller', 'action']"
1373,"['animation', 'action', 'scifi', 'family', 'comedy', 'drama', 'fantasy']"
1374,"['action', 'animation', 'comedy', 'family', 'scifi', 'fantasy']"
1375,"['action', 'drama', 'sport']"
1376,['documentation']
1377,"['comedy', 'family']"
1378,"['thriller', 'action', 'drama']"
1379,"['drama', 'romance', 'comedy']"
1380,"['comedy', 'european']"
1381,"['action', 'scifi', 'animation', 'comedy', 'drama', 'family', 'fantasy']"
1382,"['scifi', 'animation', 'action', 'comedy']"
1383,"['drama', 'fantasy']"
1384,"['comedy', 'horror', 'scifi', 'european']"
1385,"['comedy', 'drama']"
1386,"['comedy', 'drama', 'romance', 'thriller']"
1387,"['thriller', 'action', 'crime']"
1388,"['drama', 'horror', 'crime']"
1389,['drama']
1390,"['comedy', 'animation', 'family', 'european']"
1391,"['comedy', 'drama']"
1392,"['western', 'action', 'comedy']"
1393,['comedy']
1394,"['fantasy', 'drama', 'family', 'music', 'romance', 'scifi']"
1395,['comedy']
1396,"['comedy', 'thriller']"
1397,"['action', 'comedy']"
1398,"['comedy', 'music', 'documentation']"
1399,"['drama', 'european']"
1400,['reality']
1401,['comedy']
1402,"['crime', 'drama', 'thriller']"
1403,['documentation']
1404,"['drama', 'history']"
1405,"['drama', 'european', 'history', 'romance']"
1406,"['drama', 'european']"
1407,"['crime', 'documentation']"
1408,"['documentation', 'music']"
1409,"['crime', 'documentation', 'european']"
1410,"['drama', 'romance', 'comedy']"
1411,"['drama', 'european', 'romance']"
1412,"['action', 'history', 'drama']"
1413,"['family', 'animation', 'comedy', 'fantasy', 'western', 'action']"
1414,"['documentation', 'sport']"
1415,"['animation', 'comedy', 'family', 'european']"
1416,"['crime', 'scifi', 'thriller', 'drama', 'fantasy']"
1417,"['scifi', 'drama', 'thriller']"
1418,['drama']
1419,"['scifi', 'thriller', 'drama', 'european']"
1420,"['comedy', 'romance']"
1421,"['thriller', 'drama', 'horror']"
1422,"['comedy', 'drama', 'family', 'romance']"
1423,"['animation', 'family']"
1424,"['comedy', 'drama', 'romance']"
1425,['family']
1426,"['animation', 'comedy', 'family']"
1427,"['comedy', 'music', 'action']"
1428,"['documentation', 'history', 'european']"
1429,"['drama', 'comedy']"
1430,"['drama', 'comedy', 'crime', 'european']"
1431,"['thriller', 'drama', 'action', 'crime', 'european']"
1432,['comedy']
1433,"['comedy', 'drama']"
1434,"['comedy', 'drama', 'romance']"
1435,['animation']
1436,"['thriller', 'crime', 'drama', 'scifi', 'action']"
1437,['drama']
1438,"['comedy', 'family', 'animation']"
1439,"['comedy', 'drama', 'action', 'scifi', 'animation']"
1440,"['comedy', 'music', 'war']"
1441,"['drama', 'european']"
1442,"['animation', 'family', 'comedy', 'european']"
1443,['documentation']
1444,"['crime', 'thriller', 'action', 'comedy']"
1445,"['comedy', 'music']"
1446,"['drama', 'thriller', 'crime']"
1447,"['action', 'animation', 'comedy', 'family', 'fantasy']"
1448,"['comedy', 'documentation']"
1449,"['thriller', 'action']"
1450,"['romance', 'comedy', 'documentation', 'european']"
1451,"['action', 'comedy', 'family', 'fantasy', 'european']"
1452,['drama']
1453,"['animation', 'comedy', 'scifi', 'action']"
1454,"['horror', 'thriller']"
1455,"['drama', 'comedy']"
1456,"['thriller', 'action', 'crime', 'drama']"
1457,"['comedy', 'drama', 'european']"
1458,"['thriller', 'crime', 'drama']"
1459,['documentation']
1460,"['comedy', 'documentation']"
1461,['comedy']
1462,"['drama', 'comedy', 'european']"
1463,"['documentation', 'european']"
1464,['documentation']
1465,"['animation', 'action', 'fantasy', 'scifi']"
1466,"['comedy', 'scifi', 'animation', 'family', 'history']"
1467,"['fantasy', 'animation']"
1468,"['action', 'comedy', 'family', 'scifi', 'animation']"
1469,"['thriller', 'drama']"
1470,"['drama', 'family', 'animation', 'european']"
1471,"['action', 'comedy', 'crime']"
1472,"['comedy', 'crime', 'family', 'fantasy', 'scifi', 'animation', 'action', 'european']"
1473,"['thriller', 'horror']"
1474,['documentation']
1475,"['comedy', 'drama', 'family', 'romance']"
1476,['drama']
1477,"['reality', 'drama']"
1478,['action']
1479,"['war', 'drama', 'romance', 'thriller']"
1480,"['action', 'comedy', 'family', 'animation']"
1481,"['comedy', 'drama', 'romance']"
1482,"['comedy', 'family', 'animation']"
1483,['comedy']
1484,"['animation', 'scifi', 'action', 'comedy', 'family']"
1485,"['drama', 'action', 'thriller']"
1486,"['drama', 'romance']"
1487,"['comedy', 'family', 'sport']"
1488,"['reality', 'documentation', 'comedy']"
1489,"['drama', 'romance', 'european']"
1490,"['action', 'drama', 'romance', 'crime']"
1491,['documentation']
1492,"['comedy', 'animation', 'family']"
1493,"['romance', 'drama', 'history', 'european']"
1494,"['comedy', 'thriller', 'drama', 'action', 'crime']"
1495,"['family', 'animation', 'comedy']"
1496,"['action', 'drama']"
1497,"['drama', 'documentation']"
1498,"['documentation', 'history', 'european']"
1499,['comedy']
1500,['family']
1501,"['romance', 'comedy', 'drama', 'family']"
1502,"['drama', 'action', 'crime']"
1503,"['drama', 'history']"
1504,"['drama', 'romance']"
1505,"['thriller', 'action', 'romance']"
1506,"['comedy', 'drama', 'romance']"
1507,"['thriller', 'drama']"
1508,"['comedy', 'drama', 'romance', 'european']"
1509,"['crime', 'documentation']"
1510,"['drama', 'thriller', 'western']"
1511,"['drama', 'family', 'comedy', 'music']"
1512,"['animation', 'family', 'fantasy', 'comedy']"
1513,"['drama', 'comedy']"
1514,"['comedy', 'romance', 'thriller']"
1515,['comedy']
1516,"['documentation', 'drama', 'european']"
1517,"['comedy', 'documentation']"
1518,"['drama', 'action', 'sport']"
1519,"['drama', 'fantasy', 'romance', 'comedy']"
1520,['thriller']
1521,"['documentation', 'crime']"
1522,"['drama', 'thriller', 'reality']"
1523,['action']
1524,"['comedy', 'documentation']"
1525,"['action', 'animation', 'family', 'scifi']"
1526,"['action', 'drama']"
1527,['comedy']
1528,"['animation', 'comedy', 'family']"
1529,"['drama', 'crime', 'european']"
1530,"['thriller', 'action', 'scifi', 'european']"
1531,['history']
1532,['documentation']
1533,"['drama', 'romance']"
1534,"['documentation', 'music']"
1535,"['action', 'animation', 'comedy', 'family', 'fantasy', 'european']"
1536,"['action', 'drama', 'history', 'war']"
1537,"['comedy', 'drama', 'european', 'romance']"
1538,"['drama', 'comedy', 'romance', 'documentation', 'european']"
1539,"['scifi', 'family', 'animation']"
1540,['drama']
1541,['documentation']
1542,['comedy']
1543,"['comedy', 'documentation']"
1544,"['thriller', 'drama', 'crime', 'european']"
1545,"['comedy', 'documentation']"
1546,"['crime', 'action', 'thriller']"
1547,['drama']
1548,['drama']
1549,"['romance', 'drama']"
1550,"['drama', 'comedy', 'romance']"
1551,"['drama', 'comedy', 'thriller']"
1552,"['comedy', 'music']"
1553,['animation']
1554,['drama']
1555,"['drama', 'comedy']"
1556,['documentation']
1557,"['drama', 'european']"
1558,"['comedy', 'drama']"
1559,"['comedy', 'romance']"
1560,['documentation']
1561,"['animation', 'family', 'fantasy', 'comedy']"
1562,"['comedy', 'drama']"
1563,['animation']
1564,"['scifi', 'drama', 'fantasy']"
1565,"['comedy', 'drama', 'fantasy', 'romance']"
1566,"['thriller', 'war', 'drama', 'european']"
1567,"['comedy', 'crime', 'european']"
1568,"['drama', 'comedy']"
1569,['comedy']
1570,['drama']
1571,"['crime', 'action', 'drama']"
1572,"['drama', 'crime', 'action']"
1573,"['thriller', 'action', 'crime', 'drama', 'european']"
1574,['comedy']
1575,"['comedy', 'documentation']"
1576,"['romance', 'drama', 'comedy']"
1577,"['comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'european']"
1578,['comedy']
1579,"['music', 'documentation']"
1580,"['reality', 'drama']"
1581,['drama']
1582,"['thriller', 'fantasy', 'horror', 'animation', 'comedy', 'drama', 'family']"
1583,['comedy']
1584,['reality']
1585,"['romance', 'drama', 'history', 'action']"
1586,"['family', 'reality']"
1587,"['comedy', 'scifi', 'family', 'fantasy', 'european']"
1588,['documentation']
1589,"['comedy', 'european']"
1590,"['thriller', 'european']"
1591,"['drama', 'horror', 'thriller']"
1592,"['scifi', 'comedy', 'family', 'animation']"
1593,"['music', 'documentation', 'history', 'drama', 'european']"
1594,"['thriller', 'drama', 'european']"
1595,"['comedy', 'drama', 'european']"
1596,"['drama', 'european']"
1597,"['crime', 'drama', 'comedy']"
1598,"['music', 'drama']"
1599,"['war', 'documentation']"
1600,"['animation', 'comedy', 'family', 'fantasy']"
1601,['comedy']
1602,"['documentation', 'reality']"
1603,"['drama', 'european']"
1604,"['action', 'drama', 'family', 'romance']"
1605,"['documentation', 'family']"
1606,"['comedy', 'drama', 'romance']"
1607,"['drama', 'documentation', 'comedy']"
1608,"['drama', 'action']"
1609,"['comedy', 'documentation']"
1610,"['comedy', 'european']"
1611,['comedy']
1612,"['comedy', 'family', 'fantasy', 'scifi', 'animation']"
1613,"['animation', 'comedy', 'drama']"
1614,"['thriller', 'crime', 'drama']"
1615,['reality']
1616,"['crime', 'history', 'fantasy', 'drama', 'european']"
1617,"['drama', 'history', 'romance']"
1618,"['drama', 'action', 'crime']"
1619,['documentation']
1620,['comedy']
1621,"['comedy', 'romance', 'drama', 'european']"
1622,['action']
1623,['family']
1624,"['animation', 'family']"
1625,['drama']
1626,"['drama', 'comedy', 'european']"
1627,"['romance', 'drama', 'sport', 'thriller']"
1628,['documentation']
1629,"['thriller', 'action', 'drama', 'horror', 'crime', 'european']"
1630,"['documentation', 'european']"
1631,"['action', 'drama']"
1632,"['thriller', 'drama']"
1633,"['romance', 'comedy', 'action', 'european']"
1634,"['comedy', 'action', 'drama']"
1635,['animation']
1636,"['thriller', 'crime', 'drama']"
1637,"['comedy', 'family']"
1638,['documentation']
1639,"['drama', 'comedy', 'romance']"
1640,"['thriller', 'crime', 'action', 'drama']"
1641,['fantasy']
1642,"['scifi', 'thriller', 'family', 'fantasy', 'action', 'european']"
1643,['comedy']
1644,"['drama', 'comedy']"
1645,"['drama', 'history', 'war', 'european']"
1646,['comedy']
1647,['comedy']
1648,"['comedy', 'drama']"
1649,"['horror', 'thriller', 'fantasy']"
1650,"['comedy', 'drama']"
1651,['thriller']
1652,['documentation']
1653,"['drama', 'action', 'crime', 'comedy']"
1654,['comedy']
1655,"['thriller', 'drama', 'romance', 'family']"
1656,['documentation']
1657,"['animation', 'comedy']"
1658,['comedy']
1659,"['romance', 'comedy']"
1660,"['animation', 'family']"
1661,"['drama', 'romance']"
1662,['comedy']
1663,['comedy']
1664,"['comedy', 'music']"
1665,"['drama', 'comedy']"
1666,"['drama', 'european']"
1667,"['action', 'crime', 'drama', 'comedy']"
1668,"['documentation', 'comedy', 'drama']"
1669,"['drama', 'crime', 'romance']"
1670,"['documentation', 'crime', 'drama', 'thriller', 'war']"
1671,"['music', 'drama']"
1672,"['comedy', 'documentation']"
1673,"['drama', 'romance']"
1674,['comedy']
1675,"['action', 'comedy', 'european']"
1676,"['family', 'drama', 'war']"
1677,"['drama', 'european', 'romance', 'family', 'documentation']"
1678,"['thriller', 'drama', 'history']"
1679,"['documentation', 'european']"
1680,"['thriller', 'drama']"
1681,"['action', 'animation', 'fantasy']"
1682,"['thriller', 'horror']"
1683,"['comedy', 'crime']"
1684,"['drama', 'european']"
1685,"['family', 'animation', 'comedy', 'fantasy', 'european']"
1686,"['horror', 'thriller', 'crime', 'drama']"
1687,['drama']
1688,"['drama', 'comedy', 'romance', 'european']"
1689,['drama']
1690,['comedy']
1691,['documentation']
1692,"['romance', 'drama', 'comedy']"
1693,"['family', 'fantasy', 'animation', 'comedy']"
1694,"['action', 'animation', 'comedy', 'family']"
1695,"['fantasy', 'drama']"
1696,"['animation', 'comedy', 'family', 'fantasy', 'action']"
1697,"['thriller', 'action', 'crime', 'drama']"
1698,"['comedy', 'documentation']"
1699,"['drama', 'thriller', 'romance']"
1700,['comedy']
1701,"['drama', 'comedy', 'european']"
1702,['comedy']
1703,['comedy']
1704,['comedy']
1705,['drama']
1706,"['comedy', 'drama']"
1707,['thriller']
1708,['comedy']
1709,"['comedy', 'romance', 'drama']"
1710,['reality']
1711,"['action', 'thriller', 'crime', 'drama']"
1712,['comedy']
1713,"['comedy', 'documentation']"
1714,['documentation']
1715,['comedy']
1716,"['comedy', 'fantasy', 'romance', 'drama']"
1717,['comedy']
1718,['drama']
1719,"['drama', 'thriller', 'horror']"
1720,['comedy']
1721,['drama']
1722,"['romance', 'comedy', 'drama']"
1723,['comedy']
1724,"['comedy', 'documentation']"
1725,"['comedy', 'family', 'romance', 'drama', 'fantasy']"
1726,"['documentation', 'sport']"
1727,"['drama', 'crime']"
1728,"['drama', 'romance']"
1729,"['animation', 'family', 'fantasy']"
1730,['comedy']
1731,"['romance', 'drama', 'family', 'sport', 'documentation']"
1732,['horror']
1733,"['drama', 'comedy']"
1734,['comedy']
1735,"['drama', 'comedy', 'fantasy', 'music']"
1736,"['drama', 'family']"
1737,['documentation']
1738,"['comedy', 'drama']"
1739,"['scifi', 'action', 'crime', 'drama', 'thriller']"
1740,"['comedy', 'drama', 'action']"
1741,['comedy']
1742,"['drama', 'war']"
1743,"['drama', 'thriller']"
1744,"['comedy', 'drama', 'action']"
1745,"['drama', 'thriller']"
1746,['documentation']
1747,"['drama', 'comedy']"
1748,['drama']
1749,['drama']
1750,"['comedy', 'drama']"
1751,['comedy']
1752,['comedy']
1753,"['comedy', 'family']"
1754,"['comedy', 'drama']"
1755,"['romance', 'drama']"
1756,"['comedy', 'thriller', 'crime']"
1757,"['drama', 'scifi', 'thriller']"
1758,['scifi']
1759,[]
1760,"['action', 'animation', 'comedy']"
1761,['drama']
1762,['comedy']
1763,['drama']
1764,['action']
1765,['comedy']
1766,"['comedy', 'drama']"
1767,['documentation']
1768,['documentation']
1769,"['comedy', 'european']"
1770,"['drama', 'romance']"
1771,['drama']
1772,"['thriller', 'european']"
1773,"['drama', 'sport']"
1774,"['romance', 'drama', 'comedy']"
1775,"['comedy', 'action', 'drama']"
1776,"['action', 'drama']"
1777,"['crime', 'drama']"
1778,"['drama', 'music', 'romance']"
1779,"['drama', 'romance']"
1780,['romance']
1781,['comedy']
1782,"['romance', 'drama', 'comedy']"
1783,['comedy']
1784,"['comedy', 'romance']"
1785,"['romance', 'drama']"
1786,"['comedy', 'drama']"
1787,['comedy']
1788,"['drama', 'crime']"
1789,"['comedy', 'documentation']"
1790,['documentation']
1791,['family']
1792,"['drama', 'documentation']"
1793,['comedy']
1794,"['comedy', 'european']"
1795,"['comedy', 'crime', 'drama']"
1796,"['drama', 'music']"
1797,"['romance', 'drama']"
1798,['drama']
1799,['animation']
1800,"['comedy', 'horror', 'thriller']"
1801,['comedy']
1802,"['romance', 'drama']"
1803,"['romance', 'drama']"
1804,"['fantasy', 'horror']"
1805,[]
1806,"['scifi', 'drama']"
1807,['documentation']
1808,['comedy']
1809,"['thriller', 'drama', 'action']"
1810,"['romance', 'family', 'comedy']"
1811,['animation']
1812,"['drama', 'thriller', 'action', 'crime', 'sport']"
1813,"['drama', 'comedy']"
1814,"['drama', 'comedy', 'romance']"
1815,"['comedy', 'drama']"
1816,['family']
1817,"['drama', 'comedy']"
1818,"['comedy', 'romance']"
1819,['drama']
1820,"['comedy', 'european', 'romance']"
1821,['documentation']
1822,"['drama', 'animation', 'family', 'music']"
1823,"['drama', 'sport']"
1824,"['crime', 'thriller', 'drama']"
1825,['comedy']
1826,"['crime', 'thriller', 'drama']"
1827,"['scifi', 'thriller', 'action', 'drama']"
1828,"['scifi', 'crime', 'drama', 'thriller']"
1829,"['fantasy', 'scifi', 'drama', 'comedy']"
1830,"['drama', 'history', 'thriller', 'war', 'action', 'european']"
1831,"['thriller', 'crime', 'drama', 'western']"
1832,"['drama', 'crime', 'sport']"
1833,"['thriller', 'drama', 'romance', 'crime']"
1834,"['scifi', 'drama', 'fantasy', 'horror']"
1835,"['crime', 'drama', 'thriller']"
1836,"['thriller', 'action', 'crime', 'drama']"
1837,"['drama', 'sport']"
1838,"['romance', 'drama']"
1839,"['scifi', 'drama', 'thriller']"
1840,"['crime', 'drama', 'thriller']"
1841,"['action', 'comedy', 'drama', 'sport']"
1842,"['thriller', 'crime', 'drama', 'romance']"
1843,"['scifi', 'action', 'drama', 'thriller', 'family']"
1844,"['crime', 'drama', 'thriller', 'action', 'european']"
1845,"['drama', 'comedy']"
1846,"['comedy', 'drama', 'crime']"
1847,"['horror', 'thriller']"
1848,"['war', 'crime', 'drama', 'thriller', 'european']"
1849,"['western', 'documentation', 'action', 'drama', 'crime']"
1850,"['scifi', 'thriller', 'action', 'drama']"
1851,"['drama', 'scifi', 'comedy']"
1852,"['crime', 'drama']"
1853,"['drama', 'war', 'history', 'thriller', 'family']"
1854,"['crime', 'thriller', 'drama', 'european']"
1855,"['scifi', 'drama', 'fantasy']"
1856,"['drama', 'scifi', 'horror', 'thriller']"
1857,"['scifi', 'comedy', 'thriller', 'action', 'crime', 'fantasy']"
1858,"['comedy', 'drama']"
1859,"['thriller', 'drama', 'horror']"
1860,"['crime', 'documentation']"
1861,['documentation']
1862,"['animation', 'comedy', 'romance']"
1863,"['thriller', 'action', 'drama', 'scifi']"
1864,['drama']
1865,"['comedy', 'drama']"
1866,"['drama', 'comedy', 'crime']"
1867,"['drama', 'family']"
1868,"['horror', 'thriller', 'drama', 'european']"
1869,"['documentation', 'history']"
1870,"['documentation', 'crime', 'thriller', 'drama']"
1871,"['western', 'comedy', 'drama', 'romance']"
1872,"['drama', 'scifi', 'action']"
1873,"['comedy', 'horror']"
1874,"['drama', 'action', 'horror', 'romance', 'scifi']"
1875,"['scifi', 'family', 'fantasy']"
1876,"['comedy', 'drama']"
1877,"['crime', 'comedy', 'drama', 'romance', 'thriller']"
1878,"['drama', 'thriller', 'crime', 'european']"
1879,"['drama', 'comedy', 'sport', 'reality']"
1880,"['comedy', 'romance', 'animation', 'family', 'fantasy']"
1881,"['drama', 'thriller', 'crime']"
1882,"['thriller', 'crime', 'drama']"
1883,"['scifi', 'drama', 'fantasy', 'horror', 'animation', 'action']"
1884,"['fantasy', 'drama']"
1885,"['drama', 'comedy']"
1886,"['action', 'drama', 'history']"
1887,"['comedy', 'drama']"
1888,"['drama', 'thriller', 'crime']"
1889,"['drama', 'european']"
1890,"['drama', 'thriller', 'crime']"
1891,"['drama', 'crime']"
1892,"['action', 'family', 'comedy', 'drama']"
1893,"['drama', 'documentation', 'war', 'thriller']"
1894,"['comedy', 'drama', 'crime']"
1895,"['animation', 'action', 'drama', 'family', 'fantasy']"
1896,"['scifi', 'comedy', 'thriller', 'drama', 'horror']"
1897,"['scifi', 'thriller', 'drama', 'horror', 'fantasy']"
1898,"['thriller', 'drama', 'action', 'crime', 'fantasy', 'scifi']"
1899,"['thriller', 'action', 'crime', 'drama', 'european']"
1900,"['thriller', 'horror', 'drama', 'fantasy']"
1901,"['documentation', 'thriller', 'sport']"
1902,"['comedy', 'drama', 'thriller']"
1903,"['drama', 'animation', 'scifi', 'fantasy', 'romance']"
1904,"['drama', 'crime']"
1905,['drama']
1906,"['scifi', 'comedy', 'fantasy', 'animation', 'action']"
1907,"['horror', 'thriller', 'drama']"
1908,"['thriller', 'drama', 'scifi', 'european']"
1909,"['action', 'animation', 'drama', 'sport']"
1910,"['thriller', 'crime', 'drama', 'european']"
1911,"['thriller', 'horror', 'scifi', 'drama', 'action']"
1912,"['drama', 'thriller', 'comedy', 'crime', 'european']"
1913,['comedy']
1914,"['crime', 'documentation', 'thriller', 'drama']"
1915,"['horror', 'thriller']"
1916,"['crime', 'drama']"
1917,"['fantasy', 'action', 'european']"
1918,"['drama', 'comedy', 'european']"
1919,"['scifi', 'animation', 'action', 'drama', 'fantasy', 'horror']"
1920,"['thriller', 'horror', 'drama']"
1921,"['scifi', 'horror']"
1922,"['drama', 'horror', 'thriller']"
1923,"['documentation', 'history', 'european']"
1924,"['drama', 'thriller', 'crime', 'horror', 'european']"
1925,['documentation']
1926,"['thriller', 'drama', 'horror', 'scifi']"
1927,"['drama', 'comedy']"
1928,"['drama', 'war', 'history']"
1929,"['drama', 'crime']"
1930,"['war', 'documentation', 'history']"
1931,"['drama', 'action', 'history', 'war']"
1932,['reality']
1933,['horror']
1934,['comedy']
1935,"['crime', 'action', 'drama', 'documentation']"
1936,"['thriller', 'action', 'crime', 'drama']"
1937,"['thriller', 'action']"
1938,"['drama', 'thriller']"
1939,"['drama', 'thriller']"
1940,"['romance', 'comedy', 'drama']"
1941,"['scifi', 'thriller', 'drama', 'horror']"
1942,"['horror', 'thriller', 'drama']"
1943,"['scifi', 'action', 'drama']"
1944,"['drama', 'comedy']"
1945,"['horror', 'thriller']"
1946,"['horror', 'comedy']"
1947,"['fantasy', 'comedy', 'romance']"
1948,"['drama', 'thriller', 'scifi', 'action']"
1949,"['romance', 'comedy', 'drama']"
1950,"['war', 'fantasy', 'romance', 'action']"
1951,"['drama', 'thriller', 'horror', 'scifi']"
1952,"['scifi', 'animation', 'action', 'drama', 'family', 'fantasy', 'thriller']"
1953,"['comedy', 'drama']"
1954,"['drama', 'crime', 'thriller', 'european']"
1955,"['comedy', 'family', 'music', 'animation']"
1956,"['drama', 'animation', 'fantasy', 'thriller']"
1957,"['crime', 'drama', 'documentation', 'fantasy']"
1958,"['crime', 'thriller', 'drama', 'documentation', 'comedy', 'romance']"
1959,"['romance', 'drama', 'history', 'war']"
1960,"['horror', 'crime', 'documentation', 'drama', 'thriller']"
1961,"['crime', 'documentation']"
1962,"['drama', 'romance', 'comedy']"
1963,"['drama', 'war']"
1964,"['thriller', 'crime', 'drama']"
1965,['documentation']
1966,"['comedy', 'documentation']"
1967,"['action', 'fantasy', 'animation', 'comedy']"
1968,"['scifi', 'action', 'family', 'animation', 'fantasy', 'comedy', 'drama']"
1969,"['drama', 'thriller', 'crime', 'romance', 'scifi', 'comedy']"
1970,"['drama', 'scifi', 'thriller']"
1971,"['documentation', 'crime']"
1972,"['thriller', 'horror', 'drama']"
1973,"['scifi', 'drama', 'action', 'crime', 'thriller', 'european']"
1974,"['animation', 'comedy', 'thriller', 'fantasy', 'romance', 'drama']"
1975,"['thriller', 'drama', 'scifi']"
1976,"['drama', 'comedy']"
1977,"['scifi', 'thriller', 'horror', 'action']"
1978,['comedy']
1979,"['fantasy', 'animation', 'drama', 'family']"
1980,"['thriller', 'horror']"
1981,"['crime', 'documentation']"
1982,"['scifi', 'fantasy', 'crime', 'drama']"
1983,"['scifi', 'family', 'fantasy', 'animation', 'comedy', 'drama']"
1984,"['comedy', 'drama']"
1985,"['drama', 'crime', 'history']"
1986,"['thriller', 'horror', 'action', 'drama']"
1987,"['animation', 'comedy', 'family', 'fantasy']"
1988,"['drama', 'comedy', 'thriller']"
1989,"['scifi', 'thriller', 'fantasy', 'drama']"
1990,"['scifi', 'drama']"
1991,"['drama', 'european']"
1992,"['comedy', 'crime']"
1993,['documentation']
1994,"['fantasy', 'action', 'drama']"
1995,"['thriller', 'drama', 'horror', 'music']"
1996,"['thriller', 'drama', 'romance', 'scifi']"
1997,"['action', 'animation', 'drama', 'scifi', 'sport']"
1998,"['drama', 'thriller', 'european']"
1999,"['thriller', 'crime', 'action']"
2000,"['thriller', 'drama', 'documentation', 'fantasy', 'music', 'romance', 'european']"
2001,"['comedy', 'romance']"
2002,"['crime', 'comedy']"
2003,"['action', 'animation', 'scifi']"
2004,"['thriller', 'drama']"
2005,['drama']
2006,"['reality', 'comedy', 'documentation', 'european']"
2007,"['romance', 'comedy']"
2008,"['comedy', 'animation', 'romance']"
2009,"['action', 'comedy', 'animation', 'family', 'fantasy']"
2010,"['crime', 'thriller', 'action', 'drama']"
2011,[]
2012,"['comedy', 'drama', 'fantasy', 'european']"
2013,"['comedy', 'documentation']"
2014,['comedy']
2015,"['action', 'animation', 'comedy', 'drama', 'fantasy', 'romance']"
2016,"['western', 'drama', 'crime']"
2017,"['horror', 'thriller', 'crime', 'drama']"
2018,"['comedy', 'drama']"
2019,['documentation']
2020,"['comedy', 'horror', 'music']"
2021,"['thriller', 'drama', 'history', 'romance']"
2022,"['thriller', 'drama', 'scifi']"
2023,"['animation', 'family', 'fantasy']"
2024,"['horror', 'thriller']"
2025,"['thriller', 'crime']"
2026,"['thriller', 'drama', 'romance', 'action', 'european']"
2027,"['drama', 'history']"
2028,"['documentation', 'horror', 'reality']"
2029,"['fantasy', 'drama', 'european']"
2030,['comedy']
2031,"['scifi', 'family', 'thriller', 'action', 'drama']"
2032,"['drama', 'european']"
2033,"['comedy', 'documentation']"
2034,"['horror', 'animation', 'documentation', 'scifi', 'thriller', 'action', 'drama']"
2035,['documentation']
2036,['comedy']
2037,"['action', 'documentation']"
2038,"['thriller', 'history', 'crime', 'drama', 'european']"
2039,['documentation']
2040,"['drama', 'history']"
2041,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy']"
2042,"['thriller', 'horror']"
2043,"['action', 'animation', 'drama', 'thriller']"
2044,['animation']
2045,['documentation']
2046,"['crime', 'thriller', 'drama', 'european']"
