,genres
175,"['action', 'scifi']"
176,"['drama', 'documentation', 'war']"
177,['comedy']
178,"['romance', 'drama']"
179,"['comedy', 'documentation']"
180,"['drama', 'european']"
181,['comedy']
182,[]
183,"['comedy', 'documentation']"
184,['documentation']
185,"['drama', 'music', 'romance']"
186,"['drama', 'romance', 'comedy']"
187,"['comedy', 'family', 'action', 'animation', 'european']"
188,['comedy']
189,"['drama', 'comedy', 'crime']"
190,"['comedy', 'documentation']"
191,"['drama', 'romance', 'comedy']"
192,"['drama', 'romance']"
193,['drama']
194,"['romance', 'comedy', 'drama']"
195,"['drama', 'romance', 'comedy', 'history']"
196,['comedy']
197,"['drama', 'sport']"
198,"['romance', 'drama']"
199,"['romance', 'war', 'comedy', 'drama', 'european']"
200,"['drama', 'comedy', 'romance', 'action']"
201,"['drama', 'music', 'family']"
202,"['action', 'drama', 'romance', 'crime']"
203,"['comedy', 'fantasy', 'drama', 'crime']"
204,"['thriller', 'action', 'drama', 'romance']"
205,"['crime', 'drama']"
206,"['fantasy', 'romance', 'family', 'drama']"
207,"['comedy', 'drama', 'music', 'romance']"
208,"['drama', 'crime', 'thriller']"
209,"['comedy', 'romance', 'drama']"
210,['comedy']
211,"['drama', 'romance', 'comedy']"
212,"['drama', 'romance']"
213,"['romance', 'comedy', 'drama']"
214,"['romance', 'drama', 'thriller']"
215,"['war', 'drama', 'crime', 'european']"
216,"['comedy', 'action', 'crime', 'thriller']"
217,"['drama', 'action', 'crime']"
218,"['drama', 'crime']"
219,"['romance', 'comedy', 'drama']"
220,"['comedy', 'documentation']"
221,"['comedy', 'music', 'documentation']"
222,"['thriller', 'romance', 'drama']"
223,"['drama', 'romance']"
224,"['comedy', 'documentation']"
225,"['comedy', 'documentation']"
226,"['drama', 'european', 'romance']"
227,"['comedy', 'documentation']"
228,"['documentation', 'history']"
229,"['action', 'crime', 'drama', 'thriller']"
230,['drama']
231,"['drama', 'action']"
232,"['drama', 'comedy']"
233,"['comedy', 'drama', 'romance']"
234,['drama']
235,"['crime', 'action', 'drama']"
236,"['comedy', 'documentation']"
237,"['romance', 'action', 'drama']"
238,"['drama', 'romance', 'action', 'crime']"
239,"['romance', 'action', 'comedy', 'fantasy']"
240,"['drama', 'comedy']"
241,"['drama', 'action']"
242,[]
243,"['drama', 'thriller', 'crime']"
244,"['action', 'drama', 'scifi', 'thriller', 'horror']"
245,"['crime', 'documentation', 'drama']"
246,"['drama', 'romance', 'european']"
247,"['drama', 'romance']"
248,"['reality', 'european']"
249,"['thriller', 'crime', 'drama']"
250,"['action', 'drama', 'crime', 'thriller', 'comedy']"
251,['comedy']
252,"['drama', 'family']"
253,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']"
254,"['comedy', 'drama', 'romance']"
255,"['thriller', 'action', 'scifi']"
256,['comedy']
257,"['comedy', 'european']"
258,"['comedy', 'sport']"
259,"['scifi', 'family', 'fantasy', 'animation', 'action']"
260,"['scifi', 'music', 'thriller', 'action']"
261,"['crime', 'action', 'comedy']"
262,"['fantasy', 'animation', 'action', 'comedy', 'family', 'drama']"
263,"['drama', 'sport']"
264,"['thriller', 'action', 'european']"
265,"['thriller', 'crime', 'drama']"
266,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']"
267,"['scifi', 'family', 'fantasy', 'animation', 'comedy']"
268,"['action', 'comedy', 'documentation']"
269,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']"
270,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']"
271,"['comedy', 'european']"
272,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']"
273,"['fantasy', 'comedy', 'family']"
274,"['thriller', 'crime']"
275,['comedy']
276,['drama']
277,"['thriller', 'documentation', 'crime', 'drama']"
278,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']"
279,"['drama', 'crime']"
280,"['thriller', 'action', 'drama']"
281,"['drama', 'fantasy', 'romance']"
282,"['thriller', 'action']"
283,"['crime', 'drama', 'history', 'action', 'european']"
284,['reality']
285,"['crime', 'action', 'thriller']"
286,"['drama', 'comedy', 'romance']"
287,"['drama', 'romance']"
288,"['comedy', 'music']"
289,"['romance', 'drama', 'comedy']"
